     X_meter,            Y_meter,        Vel_Mag_m_p_s,       Water_Depth_m
4.390833278,-1.959993184,0.344529734,0.151036381
4.509166887,1.960026372,0.005488383,0.14980713
4.509166887,1.880079115,0.006671065,0.149806944
4.509166887,1.800131858,0.008009983,0.149805864
4.509166887,1.720184602,0.009388752,0.149804434
4.509166887,1.640237345,0.010810213,0.149802221
4.509166887,1.560290088,0.012249712,0.149799475
4.509166887,1.480342832,0.013672383,0.149795795
4.509166887,1.400395575,0.015072285,0.149791769
4.509166887,1.320448318,0.016312931,0.149786461
4.509166887,1.240501062,0.017326532,0.149781858
4.509166612,1.160520841,0.017518849,0.149775318
4.509166612,1.080507655,0.013600277,0.14977287
4.509166612,1.000494469,0.023431121,0.149767475
4.509166612,0.920481283,0.102052641,0.149771335
4.509166612,0.840468097,0.163692475,0.149763307
4.509166612,0.760454911,0.212957047,0.149762289
4.509166612,0.680441726,0.254016019,0.149767675
4.509166612,0.60042854,0.288288806,0.14978152
4.509166612,0.520415354,0.316594174,0.149805469
4.509166612,0.440402168,0.339557974,0.149839606
4.509166612,0.360388982,0.357728115,0.149883696
4.509166612,0.280375796,0.371630888,0.149936938
4.509166612,0.200362611,0.381791841,0.149998032
4.509166612,0.120349425,0.38873947,0.150065294
4.509166612,0.040336239,0.39299722,0.150136837
4.509166612,-0.039676947,0.395067555,0.150210757
4.509166612,-0.119690133,0.395407604,0.150285351
4.509166612,-0.199703319,0.394377764,0.15035929
4.509166612,-0.279716504,0.392088054,0.150430544
4.509166612,-0.35972969,0.387796507,0.150501616
4.509166612,-0.439742876,0.378273268,0.150562348
4.509148039,-0.522110041,0.355970249,0.150627709
4.509208733,-0.599999553,0.318258618,0.150674476
4.509149765,-0.67765876,0.299274533,0.150693529
4.509166612,-0.75979562,0.317414784,0.15070785
4.509166612,-0.839808805,0.341350795,0.150731852
4.509166612,-0.919821991,0.356700221,0.150747701
4.509166612,-0.999835177,0.364211229,0.150771033
4.509166612,-1.079848363,0.366931774,0.150792827
4.509166612,-1.159861549,0.367169302,0.150815085
4.509166612,-1.239874735,0.366313287,0.150836884
4.509166612,-1.31988792,0.365072417,0.150857699
4.509166612,-1.399901106,0.363768551,0.150877192
4.509166612,-1.479914292,0.362523378,0.150895022
4.509166612,-1.559927478,0.361345138,0.150910864
4.509166612,-1.639940664,0.360140637,0.150924525
4.509166612,-1.71995385,0.35866305,0.150935644
4.509166612,-1.799967035,0.356423191,0.150944355
4.509166612,-1.879980221,0.35254141,0.150949885
4.509166612,-1.959993407,0.345691181,0.150953193
4.627500221,1.960025478,0.007134529,0.149808731
4.627500221,1.880076433,0.008294314,0.149808539
4.627500221,1.800127389,0.009568456,0.149807471
4.627500221,1.720178344,0.010822155,0.149806055
4.627500221,1.640229299,0.012056465,0.149803941
4.627500221,1.560280255,0.013223689,0.149801361
4.627500221,1.48033121,0.014301965,0.149798077
4.627500221,1.400382166,0.015255894,0.149794559
4.627500221,1.320433121,0.016004762,0.149790259
4.627500221,1.240484077,0.016487344,0.149786556
4.627499945,1.160503185,0.016163243,0.149781663
4.627499945,1.080490446,0.011548855,0.149779411
4.627499945,1.000477707,0.028014565,0.149773518
4.627499945,0.920464968,0.102795546,0.149776086
4.627499945,0.84045223,0.16301571,0.149772985
4.627499945,0.760439491,0.21157922,0.149777692
4.627499945,0.680426752,0.252157235,0.149787
4.627499945,0.600414013,0.286124066,0.14980334
4.627499945,0.520401274,0.314281299,0.149828019
4.627499945,0.440388535,0.337228489,0.149861221
4.627499945,0.360375796,0.355492229,0.14990271
4.627499945,0.280363058,0.369578931,0.149951652
4.627499945,0.200350319,0.37999344,0.150006847
4.627499945,0.12033758,0.387242742,0.15006688
4.627499945,0.040324841,0.391828971,0.150130263
4.627499945,-0.039687898,0.394234657,0.150195532
4.627499945,-0.119700637,0.394898327,0.150261344
4.627499945,-0.199713376,0.394156003,0.15032672
4.627499945,-0.279726115,0.392066049,0.150389754
4.627499945,-0.359738853,0.387816549,0.150452433
4.627499945,-0.439751592,0.378272482,0.15050738
4.627481337,-0.522038515,0.356997839,0.150563642
4.627541887,-0.599999568,0.323843059,0.150606618
4.627483069,-0.677738123,0.304912552,0.150627473
4.627499945,-0.759802548,0.319094306,0.150646207
4.627499945,-0.839815287,0.341243137,0.150669428
4.627499945,-0.919828025,0.356511169,0.150687595
4.627499945,-0.999840764,0.364396529,0.150710691
4.627499945,-1.079853503,0.367460687,0.150731841
4.627499945,-1.159866242,0.367935216,0.150752928
4.627499945,-1.239878981,0.367229577,0.150773049
4.627499945,-1.31989172,0.366086604,0.150791953
4.627499945,-1.399904459,0.364853065,0.150809438
4.627499945,-1.479917197,0.363662185,0.150825286
4.627499945,-1.559929936,0.362524096,0.150839276
4.627499945,-1.639942675,0.361341255,0.150851285
4.627499945,-1.719955414,0.359859105,0.150861034
4.627499945,-1.799968153,0.357579724,0.150868646
4.627499945,-1.879980892,0.353623858,0.150873482
4.627499945,-1.959993631,0.346680258,0.150876351
4.745833554,1.960024584,0.008677302,0.149810924
4.745833554,1.880073751,0.009826806,0.149810712
4.745833554,1.800122919,0.011034708,0.149809625
4.745833554,1.720172086,0.01217169,0.149808163
4.745833554,1.640221254,0.013230979,0.149806028
4.745833554,1.560270421,0.014157795,0.149803403
4.745833554,1.480319589,0.014926785,0.14980012
4.745833554,1.400368756,0.015490308,0.149796548
4.745833554,1.320417924,0.015773574,0.14979228
4.745833554,1.240467092,0.015711676,0.149788421
4.745833278,1.160485529,0.014728433,0.149783654
4.745833278,1.080473237,0.008894619,0.14978076
4.745833278,1.000460946,0.032659036,0.149775525
4.745833278,0.920448654,0.10405444,0.149777099
4.745833278,0.840436362,0.162851261,0.149776849
4.745833278,0.76042407,0.210664961,0.14978547
4.745833278,0.680411778,0.250716333,0.149798708
4.745833278,0.600399486,0.284340881,0.149818224
4.745833278,0.520387194,0.312312503,0.149844282
4.745833278,0.440374902,0.335206604,0.149876917
4.745833278,0.360362611,0.35352706,0.14991599
4.745833278,0.280350319,0.367757748,0.149960909
4.745833278,0.200338027,0.378381559,0.150010792
4.745833278,0.120325735,0.385884617,0.150064556
4.745833278,0.040313443,0.390749758,0.150121036
4.745833278,-0.039698849,0.393441869,0.15017907
4.745833278,-0.119711141,0.394382062,0.15023755
4.745833278,-0.199723433,0.393881754,0.150295743
