     X_meter,            Y_meter,        Vel_Mag_m_p_s,       Water_Depth_m
-2.048192771,-0.51816,0.206824642,0.131224867
-2.048192771,-0.57912,0.206550526,0.131247443
-2.048192771,-0.64008,0.206339999,0.131266008
-2.048192771,-0.70104,0.206158427,0.131282538
-2.048192771,-0.762,0.205976184,0.131292909
-2.048192771,-0.82296,0.205364845,0.131303641
-2.048192771,-0.88392,0.203275602,0.131303214
-1.987951807,0.88392,0.212487195,0.130588695
-1.987951807,0.82296,0.214855026,0.130589128
-1.987951807,0.762,0.215286083,0.130598405
-1.987951807,0.70104,0.215207972,0.130608321
-1.987951807,0.64008,0.214971339,0.130623393
-1.987951807,0.57912,0.214703577,0.13064092
-1.987951807,0.51816,0.214399097,0.130662207
-1.987951807,0.4572,0.214066862,0.13068627
-1.987951807,0.39624,0.213699858,0.130713339
-1.987951807,0.33528,0.21330027,0.130742918
-1.987951807,0.27432,0.212867134,0.13077486
-1.987951807,0.21336,0.212402721,0.130808776
-1.987951807,0.1524,0.211908972,0.130844369
-1.987951807,0.09144,0.211389354,0.130881251
-1.987951807,0.03048,0.210847753,0.13091905
-1.987951807,-0.03048,0.210289194,0.130957353
-1.987951807,-0.09144,0.209719343,0.130995753
-1.987951807,-0.1524,0.209144978,0.131033808
-1.987951807,-0.21336,0.20857336,0.131071104
-1.987951807,-0.27432,0.208013126,0.131107171
-1.987951807,-0.33528,0.207472367,0.131141645
-1.987951807,-0.39624,0.206961907,0.131173987
-1.987951807,-0.4572,0.206488654,0.131204028
-1.987951807,-0.51816,0.206067653,0.131230974
-1.987951807,-0.57912,0.205699175,0.131255255
-1.987951807,-0.64008,0.205405784,0.131275184
-1.987951807,-0.70104,0.205146276,0.131292946
-1.987951807,-0.762,0.204873089,0.131304027
-1.987951807,-0.82296,0.204118159,0.13131555
-1.987951807,-0.88392,0.201852134,0.131314993
-1.927710843,0.88392,0.213799579,0.130546572
-1.927710843,0.82296,0.216321069,0.130546749
-1.927710843,0.762,0.216824538,0.130556923
-1.927710843,0.70104,0.21674696,0.130567522
-1.927710843,0.64008,0.216470829,0.130583837
-1.927710843,0.57912,0.216145326,0.130602706
-1.927710843,0.51816,0.215769645,0.130625673
-1.927710843,0.4572,0.21535491,0.130651604
-1.927710843,0.39624,0.214894435,0.13068079
-1.927710843,0.33528,0.214390886,0.130712679
-1.927710843,0.27432,0.213843802,0.130747126
-1.927710843,0.21336,0.213256066,0.130783712
-1.927710843,0.1524,0.212630386,0.130822121
-1.927710843,0.09144,0.21197115,0.130861936
-1.927710843,0.03048,0.211283283,0.130902761
-1.927710843,-0.03048,0.210573083,0.130944152
-1.927710843,-0.09144,0.20984768,0.130985668
-1.927710843,-0.1524,0.209115566,0.131026834
-1.927710843,-0.21336,0.208385985,0.131067198
-1.927710843,-0.27432,0.207669746,0.131106246
-1.927710843,-0.33528,0.206977345,0.131143581
-1.927710843,-0.39624,0.206322038,0.13117861
-1.927710843,-0.4572,0.205713153,0.131211148
-1.927710843,-0.51816,0.205168063,0.131240324
-1.927710843,-0.57912,0.20468837,0.131266612
-1.927710843,-0.64008,0.204296675,0.131288164
-1.927710843,-0.70104,0.203944221,0.131307379
-1.927710843,-0.762,0.203566867,0.131319322
-1.927710843,-0.82296,0.202662595,0.131331776
-1.927710843,-0.88392,0.200238716,0.131331095
-1.86746988,0.88392,0.215326869,0.13050015
-1.86746988,0.82296,0.21798401,0.130500054
-1.86746988,0.762,0.21855401,0.130511206
-1.86746988,0.70104,0.218474697,0.130522576
-1.86746988,0.64008,0.218155552,0.130540281
-1.86746988,0.57912,0.217766221,0.130560669
-1.86746988,0.51816,0.21731142,0.130585541
-1.86746988,0.4572,0.216804378,0.130613603
-1.86746988,0.39624,0.216239013,0.130645209
-1.86746988,0.33528,0.21561841,0.130679745
-1.86746988,0.27432,0.214942763,0.130717067
-1.86746988,0.21336,0.214215597,0.130756719
-1.86746988,0.1524,0.213440483,0.130798365
-1.86746988,0.09144,0.212622833,0.130841555
-1.86746988,0.03048,0.211768649,0.130885864
-1.86746988,-0.03048,0.210885623,0.130930813
-1.86746988,-0.09144,0.209982464,0.130975926
-1.86746988,-0.1524,0.209069559,0.131020686
-1.86746988,-0.21336,0.208158425,0.131064598
-1.86746988,-0.27432,0.207262365,0.131107102
-1.86746988,-0.33528,0.206394753,0.131147753
-1.86746988,-0.39624,0.205571678,0.131185903
-1.86746988,-0.4572,0.204805365,0.13122134
-1.86746988,-0.51816,0.204115921,0.131253111
-1.86746988,-0.57912,0.203506406,0.131281728
-1.86746988,-0.64008,0.202999479,0.131305176
-1.86746988,-0.70104,0.202537902,0.131326076
